State of Residence,Migrant Direction,Country of Birth SACC Code,Country of Birth SACC Label,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
New South Wales,Arrival,3303,Estonia,3,0,0,0,0,0,10,7,3,0,0,0,0,0,0,0,0,0,20
New South Wales,Arrival,3304,Hungary,3,4,0,0,4,5,4,10,11,5,0,3,0,0,0,4,3,0,56
New South Wales,Arrival,3305,Latvia,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,12
New South Wales,Arrival,3306,Lithuania,0,0,0,0,0,6,0,3,3,3,0,0,0,0,3,0,0,0,28
New South Wales,Arrival,3307,Poland,0,8,3,0,9,12,24,26,23,9,3,3,7,3,8,3,0,0,144
New South Wales,Arrival,3308,Russia,15,9,11,12,20,35,46,37,25,10,9,4,13,11,3,0,3,0,256
New South Wales,Arrival,3311,Slovakia,0,0,0,0,0,0,5,4,9,3,3,0,3,0,0,0,0,0,34
New South Wales,Arrival,3312,Ukraine,13,8,0,4,10,23,24,27,14,7,5,9,8,5,10,0,0,0,170
New South Wales,Arrival,4000,N Afr & Middl E nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,4100,North Africa nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,4101,Algeria,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,15
New South Wales,Arrival,4102,Egypt,33,75,39,10,10,22,78,86,39,12,5,5,9,12,9,6,0,0,444
New South Wales,Arrival,4103,Libya,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,8
New South Wales,Arrival,4104,Morocco,3,0,0,0,0,6,5,4,3,0,0,0,0,0,0,0,0,0,24
New South Wales,Arrival,4105,Sudan,4,0,0,0,3,6,12,15,13,7,15,20,10,3,0,0,0,0,119
New South Wales,Arrival,4106,Tunisia,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,16
New South Wales,Arrival,4107,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,4108,Sp North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,4111,South Sudan,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,15
New South Wales,Arrival,4200,Middle East nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,4201,Bahrain,6,3,6,3,4,3,7,3,0,0,0,0,0,0,0,0,0,0,32
New South Wales,Arrival,4202,Gaza Str/W Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,4203,Iran,39,43,44,29,36,93,192,190,114,55,29,29,14,18,17,7,3,0,934
New South Wales,Arrival,4204,Iraq,33,100,140,127,118,138,133,102,78,85,74,60,59,41,24,21,5,4,1347
New South Wales,Arrival,4205,Israel,23,22,7,8,6,8,14,20,11,5,7,3,0,4,0,3,0,0,142
New South Wales,Arrival,4206,Jordan,38,19,8,11,16,26,23,17,18,0,3,0,6,4,0,0,0,0,185
New South Wales,Arrival,4207,Kuwait,13,18,10,20,8,11,14,22,12,8,7,0,0,0,0,0,0,0,142
New South Wales,Arrival,4208,Lebanon,103,70,59,72,112,147,109,89,69,64,57,67,58,39,24,20,13,0,1168
New South Wales,Arrival,4211,Oman,8,6,3,3,6,3,3,3,3,0,0,0,0,0,0,0,0,0,39
New South Wales,Arrival,4212,Qatar,14,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
New South Wales,Arrival,4213,Saudi Arabia,63,59,21,11,15,32,44,43,7,0,0,0,0,0,0,0,0,0,309
New South Wales,Arrival,4214,Syria,8,10,16,13,19,39,35,17,19,14,5,7,8,9,6,0,0,0,230
New South Wales,Arrival,4215,Turkey,19,11,8,6,13,38,45,29,28,24,23,13,12,16,15,10,7,0,320
New South Wales,Arrival,4216,Unit Arab Emir,110,90,42,13,12,13,23,13,11,0,0,0,0,0,0,0,0,0,334
New South Wales,Arrival,4217,Yemen,0,3,3,0,0,0,9,5,4,0,0,0,0,0,0,0,0,0,24
New South Wales,Arrival,5000,South-East Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,5100,Mainld SE Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,5101,Myanmar,17,6,6,14,22,28,43,31,13,11,16,9,16,22,13,6,3,0,274
New South Wales,Arrival,5102,Cambodia,21,9,13,28,34,31,29,23,14,8,8,8,7,4,3,3,7,3,258
New South Wales,Arrival,5103,Laos,0,0,3,3,5,3,3,0,3,0,0,3,5,3,0,0,0,0,43
New South Wales,Arrival,5104,Thailand,68,65,59,78,105,143,115,87,98,66,34,36,16,8,12,4,3,0,989
New South Wales,Arrival,5105,Vietnam,107,131,144,239,293,191,196,165,130,113,82,72,82,58,25,9,8,3,2053
New South Wales,Arrival,5200,M'time SE Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,5201,Brunei,0,0,0,3,14,10,3,3,0,0,0,0,0,0,0,0,0,0,33
New South Wales,Arrival,5202,Indonesia,48,35,38,134,126,116,116,94,59,37,27,24,52,35,32,17,3,3,984
New South Wales,Arrival,5203,Malaysia,59,45,37,51,65,91,92,82,66,46,43,29,36,45,47,14,6,3,861
New South Wales,Arrival,5204,Philippines,177,175,194,180,264,344,487,402,208,114,83,75,55,69,34,18,5,8,2889
New South Wales,Arrival,5205,Singapore,135,133,85,48,149,66,61,27,30,20,14,19,15,6,4,5,3,0,827
New South Wales,Arrival,5206,Timor-Leste,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10
New South Wales,Arrival,6000,North-East Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,6100,Chinese Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,6101,China,208,258,252,282,636,717,723,512,368,342,379,723,692,602,229,84,40,17,7077
New South Wales,Arrival,6102,Hong Kong,147,212,238,198,142,103,118,174,231,198,127,143,148,71,29,9,0,5,2295
New South Wales,Arrival,6103,Macau,0,0,0,0,3,3,4,3,3,0,0,3,0,0,0,0,0,0,31
New South Wales,Arrival,6104,Mongolia,26,51,27,11,14,32,30,21,3,3,0,3,0,0,0,0,0,0,229
New South Wales,Arrival,6105,Taiwan,23,13,10,19,24,28,52,42,38,25,12,12,12,16,16,10,0,0,356
New South Wales,Arrival,6200,Japan & Koreas nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,6201,Japan,96,69,30,16,37,61,91,93,76,59,45,20,15,3,0,0,0,0,718
New South Wales,Arrival,6202,"Korea, North",0,0,0,0,0,0,0,0,4,3,3,0,3,0,3,0,0,0,28
New South Wales,Arrival,6203,"Korea, South",43,54,45,39,88,100,129,139,106,59,58,28,38,24,15,5,3,0,968
New South Wales,Arrival,7000,S & C Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,7100,Southern Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,7101,Bangladesh,67,46,33,48,235,248,139,100,63,25,18,27,25,21,7,3,0,0,1090
New South Wales,Arrival,7102,Bhutan,0,0,3,4,8,7,8,9,0,0,0,0,0,0,0,0,0,0,36
New South Wales,Arrival,7103,India,684,555,272,459,1969,2126,1738,1312,584,191,134,146,209,243,168,68,38,21,10911
New South Wales,Arrival,7104,Maldives,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4
New South Wales,Arrival,7105,Nepal,39,31,14,399,1866,978,357,112,37,8,24,26,23,23,7,4,0,0,3949
New South Wales,Arrival,7106,Pakistan,164,104,77,112,750,536,331,219,77,33,24,28,7,15,12,6,0,6,2505
New South Wales,Arrival,7107,Sri Lanka,75,44,41,41,61,126,187,132,72,49,18,30,30,37,37,22,12,7,1011
New South Wales,Arrival,7200,Central Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,7201,Afghanistan,221,220,196,178,261,276,196,119,66,45,40,38,23,19,13,8,3,0,1924
New South Wales,Arrival,7202,Armenia,0,0,0,0,0,4,0,0,3,3,0,0,3,0,0,0,0,0,16
New South Wales,Arrival,7203,Azerbaijan,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,7
New South Wales,Arrival,7204,Georgia,9,3,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,21
New South Wales,Arrival,7205,Kazakhstan,3,0,0,0,0,4,9,10,0,3,3,0,0,0,0,0,0,0,37
New South Wales,Arrival,7206,Kyrgyzstan,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6
New South Wales,Arrival,7207,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,7208,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,7211,Uzbekistan,0,0,3,7,3,0,4,5,3,0,0,0,0,0,0,0,0,0,34
New South Wales,Arrival,8000,Americas nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8100,N'thern America nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8101,Bermuda,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
New South Wales,Arrival,8102,Canada,98,33,20,20,62,102,74,52,42,27,21,14,18,8,0,0,0,0,600
New South Wales,Arrival,8103,St Pierre/Mique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8104,USA,398,191,115,72,100,177,198,167,105,62,48,39,34,28,20,9,0,3,1762
New South Wales,Arrival,8200,South America nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8201,Argentina,5,6,6,7,15,29,38,11,13,13,3,3,3,7,3,3,3,0,171
New South Wales,Arrival,8202,Bolivia,0,0,0,4,0,0,0,0,0,0,3,0,0,0,3,0,0,0,11
New South Wales,Arrival,8203,Brazil,16,11,7,10,19,38,69,64,25,17,16,10,5,7,3,0,0,0,320
New South Wales,Arrival,8204,Chile,8,6,3,3,5,17,28,21,14,11,6,6,6,7,7,3,4,0,156
New South Wales,Arrival,8205,Colombia,8,9,6,6,14,15,19,14,20,12,9,8,6,8,0,0,0,0,149
New South Wales,Arrival,8206,Ecuador,0,0,3,4,0,3,7,3,0,0,0,0,0,0,0,0,0,0,28
New South Wales,Arrival,8207,Falkland Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8208,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8211,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8212,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
New South Wales,Arrival,8213,Peru,13,3,4,3,6,5,12,11,10,8,11,0,4,3,6,3,0,0,101
New South Wales,Arrival,8214,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8215,Uruguay,3,0,0,0,0,0,4,0,4,0,4,0,3,0,6,3,0,0,28
New South Wales,Arrival,8216,Venezuela,0,3,4,3,4,5,8,12,10,3,4,0,0,0,0,0,0,0,59
New South Wales,Arrival,8299,"S America, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8300,Central America nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8301,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8302,Costa Rica,0,3,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,13
New South Wales,Arrival,8303,El Salvador,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7
New South Wales,Arrival,8304,Guatemala,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15
New South Wales,Arrival,8305,Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
New South Wales,Arrival,8306,Mexico,5,4,0,3,0,14,19,20,9,0,0,3,0,0,0,0,0,0,76
New South Wales,Arrival,8307,Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
New South Wales,Arrival,8308,Panama,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11
New South Wales,Arrival,8400,Caribbean nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8401,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8402,Antigua/Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8403,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8404,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8405,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
New South Wales,Arrival,8406,Cayman Islands,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
New South Wales,Arrival,8407,Cuba,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
New South Wales,Arrival,8408,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8411,Dominican Rep,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10
New South Wales,Arrival,8412,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8413,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8414,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8415,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
New South Wales,Arrival,8416,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8417,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8421,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8422,St Kitts/Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
