State of Residence,Migrant Direction,Country of Birth SACC Code,Country of Birth SACC Label,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total 
Tasmania,NOM,1300,Melanesia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1301,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1302,PNG,0,0,0,0,0,3,0,0,0,0,-3,0,0,0,0,0,0,0,0
Tasmania,NOM,1303,Solomon Islands,0,0,0,0,9,22,13,10,6,0,-3,0,0,0,0,0,0,0,56
Tasmania,NOM,1304,Vanuatu,0,0,0,0,88,132,99,71,56,27,8,3,0,0,0,0,0,0,492
Tasmania,NOM,1400,Micronesia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1401,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1402,Kiribati,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,13
Tasmania,NOM,1403,Marshall Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1404,"Micronesia, F S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1405,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1406,N Mariana Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1407,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1500,Polynesia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1501,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1502,Fiji,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Tasmania,NOM,1503,French Poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1504,Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1505,Samoa,0,0,0,0,136,165,109,72,47,0,0,0,0,0,0,0,0,0,524
Tasmania,NOM,1506,Samoa American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1507,Tokelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1508,Tonga,0,0,0,0,107,70,30,15,14,4,0,0,0,0,0,0,0,0,239
Tasmania,NOM,1511,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Tasmania,NOM,1512,Wallis/Futuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1513,Pitcairn Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1599,"Polynesia, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1600,Antarctica nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1601,Adelie Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1602,Argentinian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1603,Australian A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1604,British A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1605,Chilean A T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1606,Queen Maud Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,1607,Ross Dependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,2000,NW Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,21,"UK, CIs & IOM",14,4,5,8,2,-1,-1,6,-4,4,1,5,-8,0,-3,-10,0,0,11
Tasmania,NOM,2201,Ireland,0,0,0,0,-3,0,-3,0,-5,0,0,0,0,0,0,0,0,0,-1
Tasmania,NOM,2300,Western Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,2301,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Tasmania,NOM,2302,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Tasmania,NOM,2303,France,0,0,0,0,-3,-14,-8,3,-3,0,0,0,0,0,0,0,0,0,-27
Tasmania,NOM,2304,Germany,0,0,0,0,-3,-4,5,3,0,0,-3,0,0,0,0,0,0,0,-1
Tasmania,NOM,2305,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,2306,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,2307,Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,2308,Netherlands,0,0,0,0,0,3,-1,0,0,-3,0,0,0,0,0,0,0,0,-7
Tasmania,NOM,2311,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Tasmania,NOM,2400,Northern Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,2401,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,2402,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,2403,Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,2404,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,2405,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,2406,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,2407,Sweden,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4
Tasmania,NOM,2408,Aland Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3000,S & E Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3100,Southern Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3101,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3102,Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3103,Holy See,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3104,Italy,0,0,0,0,0,-5,-5,-4,0,0,0,0,0,0,0,0,0,0,-12
Tasmania,NOM,3105,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3106,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3107,San Marino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3108,Spain,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,-11
Tasmania,NOM,3200,SE Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3201,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3202,Bosnia/Herzegov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3203,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3204,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3205,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Tasmania,NOM,3206,North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3207,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,-5
Tasmania,NOM,3208,Moldova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3211,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
Tasmania,NOM,3212,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3214,Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3215,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3216,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3300,Eastern Europe nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3301,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3302,Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3303,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3304,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3305,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3306,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3307,Poland,0,0,0,0,0,0,3,-3,0,0,0,-3,0,0,0,0,0,0,-5
Tasmania,NOM,3308,Russia,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-6
Tasmania,NOM,3311,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,3312,Ukraine,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,-3
Tasmania,NOM,4000,N Afr & Middl E nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4100,North Africa nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4101,Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4102,Egypt,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Tasmania,NOM,4103,Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4104,Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4105,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Tasmania,NOM,4106,Tunisia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4107,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4108,Sp North Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4111,South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4200,Middle East nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4201,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4202,Gaza Str/W Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4203,Iran,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,11
Tasmania,NOM,4204,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4205,Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Tasmania,NOM,4206,Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4207,Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4208,Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4211,Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4212,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Tasmania,NOM,4213,Saudi Arabia,4,0,0,0,0,-3,0,-3,0,0,0,0,0,0,0,0,0,0,3
Tasmania,NOM,4214,Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4215,Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,4216,Unit Arab Emir,3,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Tasmania,NOM,4217,Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,5000,South-East Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,5100,Mainld SE Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,5101,Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Tasmania,NOM,5102,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Tasmania,NOM,5103,Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,5104,Thailand,0,3,0,0,0,3,3,0,8,3,3,0,0,0,0,0,0,0,19
Tasmania,NOM,5105,Vietnam,0,3,0,6,0,-5,5,4,3,3,0,0,0,0,0,0,0,0,16
Tasmania,NOM,5200,M'time SE Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,5201,Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,5202,Indonesia,0,0,0,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,3
Tasmania,NOM,5203,Malaysia,0,0,0,0,-2,-4,1,-6,0,0,0,0,0,0,-3,0,0,0,-15
Tasmania,NOM,5204,Philippines,4,-4,0,4,0,5,3,7,3,7,-3,0,0,0,0,0,0,0,24
Tasmania,NOM,5205,Singapore,0,0,3,3,5,-9,-4,0,5,0,0,-3,0,0,0,0,0,0,-1
Tasmania,NOM,5206,Timor-Leste,0,0,0,0,0,-7,-4,-3,-3,0,0,0,0,0,0,0,0,0,-12
Tasmania,NOM,6000,North-East Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,6100,Chinese Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,6101,China,5,2,-3,-3,-18,-91,-65,-19,-3,-5,-6,-12,-16,-26,-10,-3,0,0,-260
Tasmania,NOM,6102,Hong Kong,6,3,4,0,-4,7,-1,8,5,3,0,0,0,0,0,0,0,0,25
Tasmania,NOM,6103,Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,6104,Mongolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Tasmania,NOM,6105,Taiwan,0,0,0,0,-6,-14,-12,3,0,0,0,0,0,0,0,0,0,0,-29
Tasmania,NOM,6200,Japan & Koreas nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,6201,Japan,3,0,0,-4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4
Tasmania,NOM,6202,"Korea, North",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,6203,"Korea, South",3,-3,0,-3,-6,-5,-10,-3,-6,3,0,0,0,0,0,0,0,0,-29
Tasmania,NOM,7000,S & C Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,7100,Southern Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,7101,Bangladesh,0,0,0,-3,4,5,7,0,-3,0,-3,0,0,0,0,0,0,0,-2
Tasmania,NOM,7102,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,7103,India,12,15,6,8,8,47,28,31,3,6,-2,-7,-11,-11,-4,0,0,0,135
Tasmania,NOM,7104,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,7105,Nepal,0,0,0,0,13,25,0,9,0,0,-4,-15,-6,-3,0,0,0,0,23
Tasmania,NOM,7106,Pakistan,7,3,0,3,7,20,3,-5,0,0,-3,0,-6,0,0,0,0,0,36
Tasmania,NOM,7107,Sri Lanka,3,5,0,3,0,5,4,7,3,0,0,3,-3,0,0,0,0,0,26
Tasmania,NOM,7200,Central Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,7201,Afghanistan,0,0,5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,12
Tasmania,NOM,7202,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,7203,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,7204,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,7205,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,7206,Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,7207,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,7208,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,7211,Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8000,Americas nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8100,N'thern America nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8101,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8102,Canada,0,3,0,0,0,-3,0,0,0,4,4,0,0,0,-3,0,0,0,5
Tasmania,NOM,8103,St Pierre/Mique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8104,USA,7,0,0,0,-8,-7,-4,4,0,-3,4,1,-4,5,-3,0,0,0,-10
Tasmania,NOM,8200,South America nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8201,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8202,Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8203,Brazil,0,0,0,0,0,0,-3,0,0,0,0,0,0,-3,0,0,0,0,0
Tasmania,NOM,8204,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Tasmania,NOM,8205,Colombia,0,0,0,0,0,0,0,3,0,-3,0,0,0,0,0,0,0,0,3
Tasmania,NOM,8206,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
Tasmania,NOM,8207,Falkland Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8208,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8211,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8212,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8213,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8214,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8215,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8216,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8299,"S America, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8300,Central America nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8301,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8302,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8303,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Tasmania,NOM,8304,Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8305,Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8306,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
Tasmania,NOM,8307,Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8308,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8400,Caribbean nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8401,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8402,Antigua/Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8403,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8404,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8405,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8406,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8407,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8408,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8411,Dominican Rep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8412,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8413,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8414,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8415,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8416,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8417,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8421,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8422,St Kitts/Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8423,St Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8424,St Vinc/Grenad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8425,Trinidad/Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8426,Turks/Caicos Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8427,"Virgin Is, Brit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8428,"Virgin Is, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8431,St Barthelemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8432,St Martin (Fr),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8433,Bonaire/SE/Saba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8434,Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,8435,Sint Maarten Dp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,9000,Sub-Saha Africa nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,9100,Cent & W Africa nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,9101,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,9102,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,9103,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,9104,Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,9105,Cent Africa Rep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,9106,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,9107,"Congo, Rep",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,9108,"Congo, Dem Rep",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,9111,Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,9112,Equator Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,9113,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,9114,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tasmania,NOM,9115,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
Tasmania,NOM,9116,Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
