State of Residence,Migration Direction,Country of Birth SACC Code,Country of Birth SACC Label,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
New South Wales,Arrival,5203,Malaysia,100,100,40,300,540,340,230,150,100,60,50,30,40,30,30,20,10,10,2170
New South Wales,Arrival,5204,Philippines,300,500,540,690,1440,2220,1740,1300,760,310,230,130,160,130,80,30,20,10,10600
New South Wales,Arrival,5205,Singapore,150,130,50,120,400,140,90,40,30,30,20,10,10,10,10,0,0,0,1240
New South Wales,Arrival,5206,Timor-Leste,0,0,0,0,0,40,30,20,0,0,0,0,0,0,0,0,0,0,100
New South Wales,Arrival,6000,North-East Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,6100,Chinese Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,6101,China,310,470,530,2980,13880,3730,1730,990,770,560,790,870,1090,1290,560,210,80,50,30860
New South Wales,Arrival,6102,Hong Kong,160,260,320,610,680,320,240,270,290,210,140,90,120,90,50,10,0,10,3860
New South Wales,Arrival,6103,Macau,0,0,0,20,30,0,0,10,0,0,0,0,0,0,0,0,0,0,90
New South Wales,Arrival,6104,Mongolia,170,220,130,140,220,280,300,160,90,50,50,10,10,10,0,0,0,0,1840
New South Wales,Arrival,6105,Taiwan,40,40,30,170,490,560,310,140,90,40,40,20,20,30,20,10,10,0,2070
New South Wales,Arrival,6200,Japan & Koreas nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,6201,Japan,120,100,50,130,500,630,300,170,120,70,50,30,20,10,10,0,0,0,2330
New South Wales,Arrival,6202,"Korea, North",0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,30
New South Wales,Arrival,6203,"Korea, South",80,130,100,230,900,1000,400,260,240,120,100,40,50,50,20,10,10,10,3740
New South Wales,Arrival,7000,S & C Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,7100,Southern Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,7101,Bangladesh,130,100,70,310,740,630,320,230,120,50,50,40,30,40,20,10,0,0,2870
New South Wales,Arrival,7102,Bhutan,10,30,10,20,30,40,50,30,20,0,0,0,0,0,0,0,0,0,240
New South Wales,Arrival,7103,India,1430,1110,550,2460,5660,5590,4100,2480,1170,340,310,320,440,510,320,140,60,30,27010
New South Wales,Arrival,7104,Maldives,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20
New South Wales,Arrival,7105,Nepal,80,130,50,5850,8330,3710,1060,310,120,60,150,130,120,70,30,20,0,0,20210
New South Wales,Arrival,7106,Pakistan,240,150,100,540,1590,1140,540,300,150,50,20,30,40,50,30,10,10,0,5010
New South Wales,Arrival,7107,Sri Lanka,100,60,40,100,190,340,350,200,100,60,20,20,30,40,40,30,10,10,1730
New South Wales,Arrival,7200,Central Asia nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,7201,Afghanistan,80,90,140,120,180,200,150,90,60,30,30,30,30,20,10,10,0,0,1270
New South Wales,Arrival,7202,Armenia,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,30
New South Wales,Arrival,7203,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
New South Wales,Arrival,7204,Georgia,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,40
New South Wales,Arrival,7205,Kazakhstan,10,0,0,10,10,20,20,10,0,0,0,0,0,0,0,0,0,0,100
New South Wales,Arrival,7206,Kyrgyzstan,0,0,0,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,40
New South Wales,Arrival,7207,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
New South Wales,Arrival,7208,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,7211,Uzbekistan,10,0,0,10,20,20,10,0,0,0,0,0,0,10,0,0,0,0,110
New South Wales,Arrival,8000,Americas nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8100,N'thern America nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8101,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
New South Wales,Arrival,8102,Canada,140,80,50,40,220,300,140,90,60,30,30,30,20,20,20,10,0,0,1270
New South Wales,Arrival,8103,St Pierre/Mique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8104,USA,390,230,140,200,480,510,320,230,150,110,80,60,40,40,30,10,0,0,3050
New South Wales,Arrival,8200,South America nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8201,Argentina,30,10,10,20,310,1200,890,150,40,20,10,10,10,10,10,0,0,0,2720
New South Wales,Arrival,8202,Bolivia,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,40
New South Wales,Arrival,8203,Brazil,80,60,50,170,790,1500,1000,440,220,80,60,40,30,30,10,0,0,0,4570
New South Wales,Arrival,8204,Chile,30,20,10,50,130,520,410,120,40,20,20,10,10,20,10,10,10,0,1450
New South Wales,Arrival,8205,Colombia,30,30,30,130,710,1460,820,300,120,40,30,20,20,20,10,10,0,0,3790
New South Wales,Arrival,8206,Ecuador,0,0,0,20,40,70,40,10,0,0,0,0,0,0,0,0,0,0,200
New South Wales,Arrival,8207,Falkland Is,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8208,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8211,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8212,Paraguay,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,30
New South Wales,Arrival,8213,Peru,10,10,10,30,80,180,130,60,30,10,10,10,10,10,10,0,0,0,590
New South Wales,Arrival,8214,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8215,Uruguay,0,0,0,10,30,100,50,10,10,10,10,0,0,0,0,0,0,0,230
New South Wales,Arrival,8216,Venezuela,0,0,0,10,10,20,30,20,10,10,0,0,0,0,0,0,0,0,140
New South Wales,Arrival,8299,"S America, nec",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8300,Central America nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8301,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8302,Costa Rica,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20
New South Wales,Arrival,8303,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
New South Wales,Arrival,8304,Guatemala,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30
New South Wales,Arrival,8305,Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
New South Wales,Arrival,8306,Mexico,10,10,10,20,70,140,90,40,20,10,10,0,0,0,0,0,0,0,430
New South Wales,Arrival,8307,Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
New South Wales,Arrival,8308,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
New South Wales,Arrival,8400,Caribbean nfd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8401,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New South Wales,Arrival,8402,Antigua/Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
